field_position_id,surface,message,field_path,charging_relevance,constraint_ids,scenario_ids
FP-0134,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.simConnInd,DEPLOYMENT,T1-R04,T1-A40
FP-0135,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.simConnTerm,DEPLOYMENT,T1-R04,T1-A40
FP-0140,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerFun,DEPLOYMENT,T1-R04,T1-A40
FP-0141,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.steerModeValue,DEPLOYMENT,T1-R04,T1-A40
FP-0142,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.active,DEPLOYMENT,T1-R04,T1-A40
FP-0143,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.standby,DEPLOYMENT,T1-R04,T1-A40
FP-0144,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.3gLoad,DEPLOYMENT,T1-R04,T1-A40
FP-0145,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.prioAcc,DEPLOYMENT,T1-R04,T1-A40
FP-0146,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.thresValue.rttThres,DEPLOYMENT,T1-R04,T1-A40
FP-0147,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.thresValue.plrThres,DEPLOYMENT,T1-R04,T1-A40
FP-0148,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeDl.steerModeInd,DEPLOYMENT,T1-R04,T1-A40
FP-0149,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.steerModeValue,DEPLOYMENT,T1-R04,T1-A40
FP-0150,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.active,DEPLOYMENT,T1-R04,T1-A40
FP-0151,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.standby,DEPLOYMENT,T1-R04,T1-A40
FP-0152,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.3gLoad,DEPLOYMENT,T1-R04,T1-A40
FP-0153,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.prioAcc,DEPLOYMENT,T1-R04,T1-A40
FP-0154,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.thresValue.rttThres,DEPLOYMENT,T1-R04,T1-A40
FP-0155,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.thresValue.plrThres,DEPLOYMENT,T1-R04,T1-A40
FP-0156,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.steerModeUl.steerModeInd,DEPLOYMENT,T1-R04,T1-A40
FP-0157,T1,SmPolicyDecision,SmPolicyDecision.traffContDecs.mulAccCtrl,DEPLOYMENT,T1-R04,T1-A40
FP-0158,T1,SmPolicyDecision,SmPolicyDecision.umDecs.umId,RELATIONAL,T1-R01,T1-A01
FP-0159,T1,SmPolicyDecision,SmPolicyDecision.umDecs.volumeThreshold,DIRECT,T1-R07,T1-A21
FP-0160,T1,SmPolicyDecision,SmPolicyDecision.umDecs.volumeThresholdUplink,DIRECT,T1-R07,T1-A21
FP-0161,T1,SmPolicyDecision,SmPolicyDecision.umDecs.volumeThresholdDownlink,DIRECT,T1-R07,T1-A21
FP-0162,T1,SmPolicyDecision,SmPolicyDecision.umDecs.timeThreshold,DEPLOYMENT,T1-R07,T1-A22
FP-0163,T1,SmPolicyDecision,SmPolicyDecision.umDecs.monitoringTime,DEPLOYMENT,T1-R07,T1-A23
FP-0164,T1,SmPolicyDecision,SmPolicyDecision.umDecs.nextVolThreshold,DIRECT,T1-R07,T1-A21
FP-0165,T1,SmPolicyDecision,SmPolicyDecision.umDecs.nextVolThresholdUplink,DIRECT,T1-R07,T1-A21
FP-0166,T1,SmPolicyDecision,SmPolicyDecision.umDecs.nextVolThresholdDownlink,DIRECT,T1-R07,T1-A21
FP-0167,T1,SmPolicyDecision,SmPolicyDecision.umDecs.nextTimeThreshold,DEPLOYMENT,T1-R07,T1-A22
FP-0168,T1,SmPolicyDecision,SmPolicyDecision.umDecs.inactivityTime,DEPLOYMENT,T1-R07,T1-A22
FP-0169,T1,SmPolicyDecision,SmPolicyDecision.umDecs.exUsagePccRuleIds,DIRECT,T1-R03 | T1-R04,T1-A24
FP-0170,T1,SmPolicyDecision,SmPolicyDecision.qosChars.5qi,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A26
FP-0171,T1,SmPolicyDecision,SmPolicyDecision.qosChars.resourceType,DEPLOYMENT,T1-R02 | T1-R09,T1-A02
FP-0172,T1,SmPolicyDecision,SmPolicyDecision.qosChars.priorityLevel,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0173,T1,SmPolicyDecision,SmPolicyDecision.qosChars.packetDelayBudget,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0174,T1,SmPolicyDecision,SmPolicyDecision.qosChars.packetErrorRate,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0175,T1,SmPolicyDecision,SmPolicyDecision.qosChars.averagingWindow,DEPLOYMENT,T1-R02 | T1-R09,T1-A02
FP-0176,T1,SmPolicyDecision,SmPolicyDecision.qosChars.maxDataBurstVol,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0177,T1,SmPolicyDecision,SmPolicyDecision.qosChars.extMaxDataBurstVol,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0178,T1,SmPolicyDecision,SmPolicyDecision.qosMonDecs.qmId,RELATIONAL,T1-R01,T1-A01
FP-0190,T1,SmPolicyDecision,SmPolicyDecision.conds.condId,RELATIONAL,T1-R01,T1-A01
FP-0191,T1,SmPolicyDecision,SmPolicyDecision.conds.activationTime,DEPLOYMENT,T1-R06,T1-A28
FP-0192,T1,SmPolicyDecision,SmPolicyDecision.conds.deactivationTime,DEPLOYMENT,T1-R06,T1-A28
FP-0193,T1,SmPolicyDecision,SmPolicyDecision.conds.accessType,DEPLOYMENT,T1-R06,T1-A29
FP-0194,T1,SmPolicyDecision,SmPolicyDecision.conds.ratType,DEPLOYMENT,T1-R06,T1-A29
FP-0195,T1,SmPolicyDecision,SmPolicyDecision.revalidationTime,DEPLOYMENT,T1-R12,T1-A36
FP-0196,T1,SmPolicyDecision,SmPolicyDecision.offline,RELATIONAL,T1-R08,T1-A16
FP-0197,T1,SmPolicyDecision,SmPolicyDecision.online,RELATIONAL,T1-R08,T1-A16
FP-0198,T1,SmPolicyDecision,SmPolicyDecision.offlineChOnly,RELATIONAL,T1-R08,T1-A16
FP-0199,T1,SmPolicyDecision,SmPolicyDecision.policyCtrlReqTriggers,DEPLOYMENT,T1-R12,T1-A37
FP-0200,T1,SmPolicyDecision,SmPolicyDecision.lastReqRuleData.refPccRuleIds,DEPLOYMENT,T1-R02 | T1-R03 | T1-R12,T1-A38
FP-0201,T1,SmPolicyDecision,SmPolicyDecision.lastReqRuleData.reqData,DEPLOYMENT,T1-R02 | T1-R03 | T1-R12,T1-A38
FP-0202,T1,SmPolicyDecision,SmPolicyDecision.lastReqUsageData.refUmIds,DEPLOYMENT,T1-R02 | T1-R03 | T1-R12,T1-A38
FP-0203,T1,SmPolicyDecision,SmPolicyDecision.lastReqUsageData.allUmIds,DEPLOYMENT,T1-R02 | T1-R03 | T1-R12,T1-A38
FP-0204,T1,SmPolicyDecision,SmPolicyDecision.praInfos.praId,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0205,T1,SmPolicyDecision,SmPolicyDecision.praInfos.additionalPraId,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0206,T1,SmPolicyDecision,SmPolicyDecision.praInfos.presenceState,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0207,T1,SmPolicyDecision,SmPolicyDecision.praInfos.trackingAreaList.plmnId.mcc,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0208,T1,SmPolicyDecision,SmPolicyDecision.praInfos.trackingAreaList.plmnId.mnc,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0209,T1,SmPolicyDecision,SmPolicyDecision.praInfos.trackingAreaList.tac,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0210,T1,SmPolicyDecision,SmPolicyDecision.praInfos.trackingAreaList.nid,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0211,T1,SmPolicyDecision,SmPolicyDecision.praInfos.ecgiList.plmnId.mcc,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
FP-0212,T1,SmPolicyDecision,SmPolicyDecision.praInfos.ecgiList.plmnId.mnc,DEPLOYMENT,T1-R06 | T1-R13,T1-A39
